patent_number,patent_date,patent_title,patent_abstract,assignee_organization,assignee_key_id
10242497,2019-03-26,Audio-based 3D point cloud generation and analysis,"In a system and method for inspecting a property, a microphone receives one or more audio waves propagating from a structure. One or more processors generate a 3D point cloud based on the received audio waves, analyzed the generated 3D point cloud to identify features of a surface or subsurface of the structure, and generate an estimate of a condition of the surface or subsurface.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10242513,2019-03-26,"Shared vehicle usage, monitoring and feedback","Systems and methods for monitoring the use of a shared vehicle are described. In various aspects, telematics data regarding operation of a shared vehicle is collected from one or more sensors, where the shared vehicle is associated with a shared vehicle operator and a shared vehicle stakeholder. One or more processors determine whether a driving event has occurred based upon the telematics data, where the driving event is indicative of improper usage of the shared vehicle by the shared vehicle operator. The one or more processors generate a notification regarding the driving event. The notification includes a driver rating determined from the telematics data regarding operation of the shared vehicle by the shared vehicle operator. The notification is transmitted, via a network, to the shared vehicle stakeholder for presentation to the shared vehicle stakeholder.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10244067,2019-03-26,Web service gateway,"A web service gateway system includes a host application execution environment including one or more processors, a memory, and a gateway interface configured to receive a gateway copybook input from a host application. The gateway copybook includes input data including a pointer identifying a memory location of a request structure copybook, and output data including a pointer identifying a memory location of a response structure copybook. A gateway program receives the gateway copybook from the gateway interface and invokes a proxy web service with a request using the request structure copybook. The proxy web service maps data from the request structure copybook to web protocol format data, and invokes a target web service with the web protocol format data. The gateway program returns to the gateway interface a response that is based upon a response the gateway program receives from the proxy web service and uses the response structure copybook.",State Farm Mutal Automobile Insurance Company,19990
10244294,2019-03-26,Sensor data to identify catastrophe areas,"A computer-implemented method for generating an automated response to a catastrophic event, that includes (1) analyzing a sample set of data generated in association with a catastrophic event to determine a threshold pattern; (2) receiving, with customer permission or affirmative consent, home sensor data from a smart home controller via wireless communication or data transmission, the home sensor data including data regarding at least one of (i) structural status; (ii) wind speed; (iii) availability of electricity; (iv) presence of water; (v) temperature; (vi) pressure; and/or (vii) presence of pollutants in the air and/or water; (3) determining, based upon or from computer analysis of the home sensor data, whether the home sensor data indicates a match to the threshold pattern; and (4) automatically generating a response if the home sensor data indicates a match to the threshold pattern. As a result, catastrophic events and responses thereto may be improved through usage of a remote network of home sensors.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10244706,2019-04-02,Soybean variety 01064571,"The invention relates to the soybean variety designated 01064571. Provided by the invention are the seeds, plants and derivatives of the soybean variety 01064571. Also provided by the invention are tissue cultures of the soybean variety 01064571 and the plants regenerated therefrom. Still further provided by the invention are methods for producing soybean plants by crossing the soybean variety 01064571 with itself or another soybean variety and plants produced by such methods.",Monsanto Technology LLC,65036
10244708,2019-04-02,Soybean variety 01064594,"The invention relates to the soybean variety designated 01064594. Provided by the invention are the seeds, plants and derivatives of the soybean variety 01064594. Also provided by the invention are tissue cultures of the soybean variety 01064594 and the plants regenerated therefrom. Still further provided by the invention are methods for producing soybean plants by crossing the soybean variety 01064594 with itself or another soybean variety and plants produced by such methods.",Monsanto Technology LLC,65036
10246097,2019-04-02,Autonomous vehicle operator identification,"Methods and systems for monitoring use, determining risk, and pricing insurance policies for a vehicle having one or more autonomous or semi-autonomous operation features are provided. According to certain aspects, with the customer's permission, a vehicle operator in an autonomous or semi-autonomous vehicle may be determined by a sensor disposed within the autonomous or semi-autonomous vehicle or a mobile computing device associated with the vehicle operator. A determination may be made as to whether the vehicle operator is authorized to operate the vehicle based upon the determined identity of the vehicle operator; and if the vehicle operator is not authorized, an alert may be generated and/or the vehicle may be caused to not operate. Alternatively, autonomous operation features may be automatically engaged to automatically drive the autonomous or semi-autonomous vehicle to a safe location when the operator is not authorized. Insurance discounts may be provided based upon the anti-theft functionality.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10247565,2019-04-02,Traffic risk avoidance for a route selection system,"Systems and methods relate to, inter alia, calculating a number of expected collisions in an area over a time period. The systems and methods may further determine a number of observed collisions in the area over the time period. The systems and methods may further calculate a risk index for the area based upon a comparison between the number of expected collisions and the number of observed collisions. The systems and methods may further select a travel route for a vehicle based upon the risk index.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10248533,2019-04-02,Detection of anomalous computer behavior,"A computer-implemented method for determining features of a dataset that are indicative of anomalous behavior of one or more computers in a large group of computers comprises (1) receiving log files including a plurality of entries of data regarding connections between a plurality of computers belonging to an organization and a plurality of websites outside the organization, each entry being associated with the actions of one computer, (2) executing a time series decomposition algorithm on a portion of the features of the data to generate a first list of features, (3) implementing a plurality of traffic dispersion graphs to generate a second list of features, and (4) implementing an autoencoder and a random forest regressor to generate a third list of features.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10248981,2019-04-02,Platform and acquisition system for generating and maintaining digital product visuals,"An example system may include an acquisition system including a robotic manipulator and a camera coupled to the robotic manipulator. The example system may further include one or more network servers storing program instructions that, upon execution by at least one processor of the one or more network servers, cause the one or more network servers to perform various operations. The operations may include: receiving, from a client application operating on a client device, a product visual order; generating a product profile corresponding to the product visual order in a product visual database; transmitting, to the acquisition system, acquisition instructions for acquiring product visual data indicative of the tangible product; transforming captured product visual data into a product visual of the tangible product; and storing the product visual in the product profile.",Prisma Systems Corporation,20449
10249109,2019-04-02,Autonomous vehicle sensor malfunction detection,"Methods and systems for assessing, detecting, and responding to malfunctions involving components of autonomous vehicles and/or smart homes are described herein. Malfunctions may be detected by receiving sensor data from a plurality of sensors. One of these sensors may be selected for assessment. An electronic device may obtain from the selected sensor a set of signals. When the set of signals includes signals that are outside of a determined range of signals associated with proper functioning for the selected sensor, it may be determined that the selected sensor is malfunctioning. In response, an action may be performed to resolve the malfunction and/or mitigate consequences of the malfunction.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10249158,2019-04-02,Systems and methods for automatically responding to a fire,"Methods and systems for generating a response to detecting a fire on a property are provided. In certain aspects, a smart home controller (or other smart controller) may analyze data received from smart devices disposed on, within, or proximate to a property. If it is determined that a fire is present on the premises of the property, the smart home controller may determine a location of the fire as compared to the smart devices. The smart home controller may then generate and transmit instructions causing a portion of the smart devices to perform a set of actions to mitigate risks associated with the presence of the fire on the property. The smart home controller may also compare the location of the fire with a location of an occupant, and generate an escape route for the occupant. Insurance policies, premiums, or discounts may be adjusted based upon the fire response/mitigation functionality.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10253995,2019-04-09,Systems and methods for mitigating smoke damage to a property,"Smoke and/or soot damage to an interior of a property, such as a residential building or home, may be mitigated. A controller is in communication with a heating, ventilation, and air conditioning (HVAC) system of the property. The controller is configured to receive an alert and/or intelligent home telematics data generated based upon a potential presence of smoke in a location associated with the property, either exterior or interior to the property. In response to receiving the alert and/or intelligent home telematics data, the controller is further configured deactivate an air circulation function of the HVAC system to mitigate smoke or fire damage to the property. The intelligent home telematics data may be generated by various smoke, fire, audio, visual, infrared, motion, and/or other smart sensors mounted about the interior and/or exterior of the property.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10262226,2019-04-16,Systems and methods regarding 2D image and 3D image ensemble prediction models,"Systems and methods are described for generating an enhanced prediction from a 2D and 3D image-based ensemble model. In various embodiments, a computing device can be configured to obtain one or more sets of 2D and 3D images and to standardize each of the 2D and 3D images to allow for comparison and interoperability. Corresponding 2D3D image pairs can be determined from the standardized 2D and 3D pairs where the 2D and 3D images correspond based on a common attribute, such as a similar timestamp or time value. The enhanced prediction can use separate underlying 2D and 3D prediction models where the 2D and 3D images of a 2D3D pair are each input to the respective underlying 2D and 3D prediction models to generate respective 2D and 3D predict actions.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10262373,2019-04-16,Systems and methods for grid-based insurance rating,"A system and method for underwriting and rating insurance products using a programmed computer system to receive usage information of a vehicle within a geographic area or location, determine a target grid cell or a sequence of target grid cells bounded by latitude and longitude lines that encompass at least a portion of the geographic area where the vehicle was used, attain a set of data associated with the target grid cell(s), and calculate a location rating factor based on the usage information, target cell(s), and the set of data.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10262376,2019-04-16,Systems and methods for automatically updating data representative of insurance related information,"The present disclosure generally relates to systems and methods for automatically updating data representative of insurance related information. In particular, the present disclosure relates to systems and methods for automatically updating data representative of insurance related information based on data, representative of desired updates, entered by a customer and data representative of update rules. The data representative of desired updates may be compared to the data representative of the update rules to generate updates to data representative of insurance related information.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10262528,2019-04-16,Autonomous vehicle mode alert system for bystanders,"An alert may be triggered to notify a pedestrian of the current operational mode of a nearby vehicle. For instance, a vehicle may operate in an autonomous or manual mode, and may occasionally switch from one mode to the other. A pedestrian who may be unaware of the current operational mode of a nearby vehicle may notice the alert and proceed accordingly. In one embodiment, an indication of the current operational mode of the nearby vehicle may be transmitted to an electronic device associated with the pedestrian. The device may generate a notification to the pedestrian based on the current operational mode. In an additional or alternative embodiment, the alert may be transmitted by the vehicle externally to be visible or audible to the pedestrian. In some embodiments, the alert may be triggered only for particular operational modes (e.g., only for autonomous or only for manual).",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10266180,2019-04-23,Autonomous vehicle control assessment and selection,"Methods and systems for monitoring use, determining risk, and pricing insurance policies for a vehicle having one or more autonomous or semi-autonomous operation features are provided. According to certain aspects, a computer-implemented method for operating an autonomous or semi-autonomous vehicle may be provided. With a vehicle owner's permission, a vehicle operator identity may be determined; and operating data regarding the autonomous or semi-autonomous vehicle may be received from one or more vehicle-mounted sensors. Based upon the received operating data, (i) autonomous operation risk levels associated with autonomous vehicle operation; and (ii) operator risk levels associated with autonomous vehicle operation by the vehicle operator may be determined. Based upon a comparison of the autonomous operation versus vehicle operator risk levels, the autonomous features may be engaged if it is safer for the vehicle to travel autonomously. Insurance discounts may be provided to risk averse vehicle owners having this safety functionality.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10271494,2019-04-30,Soybean variety 01068122,"The invention relates to the soybean variety designated 01068122. Provided by the invention are the seeds, plants and derivatives of the soybean variety 01068122. Also provided by the invention are tissue cultures of the soybean variety 01068122 and the plants regenerated therefrom. Still further provided by the invention are methods for producing soybean plants by crossing the soybean variety 01068122 with itself or another soybean variety and plants produced by such methods.",Monsanto Technology LLC,65036
10275237,2019-04-30,Automated spring wiring source code review,A computer-implemented automated review method for spring wiring configuration source code files seeking to access a data store comprises the steps of receiving a request to review configuration source code files seeking to access the data store; checking the configuration source code files for definitions of a namespace; setting an issue flag if the configuration source code files do not include definitions of the namespace; checking the configuration source code files for a definition of a data store access driver; setting the issue flag if the configuration source code files do not include the definition of the data store access driver; checking the configuration source code files for a definition of a “database”; setting the issue flag if the configuration source code files do not include the definition of the “database”; reviewing the status of the issue flag; and issuing a halt signal or a proceed signal.,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10275522,2019-04-30,Speech recognition for providing assistance during customer interaction,"A computer-implemented method for presenting relevant information to a customer service representative of a business may include receiving a digitized data stream corresponding to a spoken conversation between a customer and a representative; converting the data stream to a text stream; determining one or more keywords from the text stream; comparing the one or more keywords with a history of keywords that have previously been searched; and/or searching a database for information related to the one or more keywords that have not been previously searched. As a result of the keyword search, information about topics that the customer is interested in, may be located and displayed on a customer service representative display to facilitate the customer service representative timely relaying the information found by the keyword search to enhance the customer experience. Exemplary keywords may relate to insurance and financial services, such as “auto,” “home,” “life,” “insurance,” or “vehicle loan.”",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10275833,2019-04-30,Automatic building assessment,"Disclosed systems and methods automatically assess buildings and structures. A device may receive one or more images of a structure, such as a building or portion of the building, and then label and extract relevant data. The device may then train a system to automatically assess other data describing similar buildings or structures based on the labeled and extracted data. After training, the device may then automatically assess new data, and the assessment results may be sent directly to a client or to an agent for review and/or processing.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10277512,2019-04-30,"Method, device, and computer-readable medium for automatic network traffic engineering","A computer-implemented method for automatic configuring of a network of interconnected nodes to handle electronic data traffic comprises the steps of receiving a request to transfer a block of data from a source data storage device of the network to a destination data storage device, determining a status for each data storage device and a plurality of data transmission devices, determining paths through the network from the source data storage device to the destination data storage device based upon the status of the devices, sending a prioritized configuration to each subset of data transmission devices to establish the paths from the source data storage device to the destination data storage device, sending a signal to the source data storage device to transfer the block of data to the destination data storage device, and returning the data transmission devices to a default configuration after the block of data has been transferred.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10282114,2019-05-07,System and computer-implemented method for balancing loads across data storage pools,"A system and computer-implemented method for automatically balancing loads across two or more storage pools within a storage array, particularly with regard to storage capacity and/or performance utilization, in accordance with a user-instituted policy. A policy is activated and input criteria are specified. A current refresh date/time stamp is determined, and whether an active job is occurring is determined. A current operational (e.g., capacity or performance) percentage for each of storage pool is determined, pools with higher and pools with lower operational percentages are identified, and data is moved from the former to the latter to better balance the pools. If the pools are already closely balanced, no action is performed. The process is repeated at an interval specified in the set of input criteria. If multiple bases for balancing are selected, the process may alternate between them.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10282624,2019-05-07,"Apparatuses, systems, and methods for determining when a vehicle operator is texting while driving","Apparatuses, systems and methods are provided for determining when a vehicle operator is texting while driving. More particularly, apparatuses, systems and methods are provided for determining when a vehicle operator is texting while driving based on digital image data.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10282787,2019-05-07,Systems and methods for determining cause of loss to a property,"Methods and systems for assessing damage to a property associated with an insurance-related event are provided. According to certain aspects, a smart home controller or insurance provider remote processor may store data received from a plurality of smart devices disposed on or proximate to a property. The stored data may be used to develop a baseline for normal conditions associated with the property. When the insurance-related event is occurring, the smart home controller or insurance provider remote processor may receive a second set of data from the plurality of smart devices. The second set of data may be compared to the baseline to determine a sequence of events associated with the insurance-related event that caused the damage to the property. Subsequently, according to certain aspects, the smart home controller or insurance provider remote server may automatically generate an insurance claim for damage associated with the insurance-related event.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10282788,2019-05-07,Systems and methods for managing service log information,"Methods and systems for processing insurance policies associated with properties may be provided. A home may be populated with smart devices that are connected to, or in communication with, a central (or “smart home”) controller, such as via wired or wireless communication. The smart devices are covered by an insurance policy, such as homeowners, renters, or personal articles insurance. The central controller may receive, with customer permission, service log information for the devices, and update an inventory list to include the service log information. The controller may detect that a smart device has been repaired, and then generate and transmit a notification to the customer. In some cases, the notification may prompt the customer to schedule a future repair event. The smart devices may be associated with appliances, electronics, computers, televisions, jewelry, vehicles, furniture, or other personal belongings. Insurance discounts may be provided based upon the service log/maintenance functionality.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10282789,2019-05-07,Method of controlling for undesired factors in machine learning models,"A method of training and using a machine learning model that controls for consideration of undesired factors which might otherwise be considered by the trained model during its subsequent analyzes of new data. For example, the model may be a neural network trained on a set of training images to evaluate an insurance applicant based upon an image or audio data of the insurance applicant as part of an underwriting process to determine an appropriate life or health insurance premium. The model is trained to probabilistically correlate an aspect of the applicant's appearance with a personal and/or health-related characteristic. Any undesired factors, such as age, sex, ethnicity, and/or race, are identified for exclusion. The trained model receives the image (e.g., a “selfie”) of the insurance applicant, analyzes the image without considering the identified undesired factors, and suggests the appropriate insurance premium based only on the remaining desired factors.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10282961,2019-05-07,Systems and methods for automatically generating an escape route,"Methods and systems for generating escape routes are provided. With a home owner's or insured's permission, a smart home controller or insurance provider remote processor may analyze data received from a plurality of smart devices disposed on, within, or proximate to a home, as well as data received from an insurance provider. If it is determined that an emergency situation necessitating an evacuation exists, the smart home controller or insurance provider remote processor may automatically generate escape routes to guide occupants to safety. The smart home controller may then transmit the generated escape routes to inform occupants of emergency situation and how to reach safety. The smart home controller and/or insurance provider may also issue commands to smart devices to ensure the safety of the generated escape routes. Insurance policies, premiums, or discounts may be adjusted based upon the escape route determination functionality.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10282981,2019-05-07,Networked vehicle control systems to facilitate situational awareness of vehicles,"A system and method are provided for improving vehicle awareness and safety by generating and transmitting alerts in response to detecting a hazard in the environment omnidirectional to a vehicle awareness system. Omnidirectional environment data, representing kinematic information pertaining to one or more physically detectable elements omnidirectional to the primary vehicle, is acquired by one or more sensors communicatively coupled to a vehicle. The system analyzes the omnidirectional environment data to detect if one or more hazards in the omnidirectional environment data, representing a change in the kinetic behavior of the one or more physically detectable elements omnidirectional to the vehicle awareness system, has occurred. When the system detects one or more hazards in the omnidirectional environment data, the system generates and transmits an alert to vehicles, vehicle operators, mobile devices, or pedestrians at risk from the hazard.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10289938,2019-05-14,Systems and methods regarding image distification and prediction models,"Systems and methods are described for generating an image-based prediction model, where a computing device may obtain a set 3D images from a 3D image data source. Each of the 3D images can have 3D point cloud data and a Distification technique can be applied to the 3D point cloud data of each 3D image to generate output feature vector(s). The output feature vector(s) may then be used to train and generate the image-based prediction model.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10295356,2019-05-21,Digital atlas for delivering personalized and relevant notifications,"Systems and methods for generating and delivering personalized and relevant notifications to a user are provided. According to certain aspects, a mobile device may receive activity data from a user of the mobile device. The mobile device may identify a set of real-time sensor data relevant to the activity data. The mobile device may generate a notification based on the activity data and the set of real-time sensor data. The mobile device may identify a set of user profile data relevant to the activity data and the set of real-time sensor data, and further identify a set of static data relevant to the set of user profile data. Based on the relevant data, the mobile device may modify the notification. Finally, the mobile device may deliver the notification to the user via a user interface.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10295363,2019-05-21,Autonomous operation suitability assessment and mapping,"Methods and systems for autonomous and semi-autonomous vehicle routing are disclosed. Roadway suitability for autonomous operation is scored to facilitate use in route determination. Maps of roadways suitable for various levels of autonomous operation may be generated. Such map data may be used by autonomous vehicles or other computer devices in determining routes based upon criteria for vehicle trips. Such routes may be automatically updated based upon changes in road conditions, vehicle conditions, operator conditions, or environmental conditions. Emergency routing using such map data is described, such as automatic routing and travel when a passenger is experiencing a medical emergency.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10296495,2019-05-21,Automated governance of data applications,"A method for regulating a plurality of collections of data includes, for each of a plurality of collections of data, analyzing the collection of data to identify one or more deviations from a standard, guideline, or best practice governing the plurality of collections of data. The method further includes determining a characteristic of the one or more deviations and, based on the characteristic, determining an action to be executed in response to the one or more deviations.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10296502,2019-05-21,Self-management of data applications,"The present embodiments relate generally to the enforcement of guidelines, standards, and best practices for software applications. According to certain aspects, a method of retrieving, by a self-management engine from a data storage device, health data indicative of a utilization of a collection of data by one or more computing devices is disclosed, including detecting, by the self-management engine, a pattern in the utilization of the collection of data based on the health data; automatically determining, by the self-management engine, a correction to be applied to the collection of data based on the detected pattern and based on one or more rules corresponding to the detected pattern; and causing, by the self-management engine, the correction to be applied to the collection of data.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10296982,2019-05-21,Using images and voice recordings to facilitate underwriting life insurance,"A system and method for evaluating an insurance applicant as part of an underwriting process to determine one or more appropriate terms of life or other insurance coverage, such as premiums. A processing element employing a neural network is trained to correlate aspects of appearance and/or voice with personal and/or health-related characteristic. A database of images and/or voice recordings of individuals with known personal and/or health-related characteristics is provided for this purpose. The processing element is then provided with an image and/or voice recording of the insurance applicant. The image may be an otherwise non-diagnostic image, such as an ordinary “selfie.” The trained processing element analyzes the image of the insurance applicant, with their permission or affirmative consent, to determine the personal and/or health-related characteristic for the insurance applicant, and then, based upon that analysis, facilitates the underwriting process and/or suggests the one or more appropriate terms of insurance coverage.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10304138,2019-05-28,System and method for identifying primary and secondary movement using spectral domain analysis,A computer implemented method for determining a primary movement window from a vehicle trip is presented. A data server may receive a plurality of telematics data originating from a client computing device and summarize the plurality of telematics data at a specified sample rate. The data server may also select one or more data points from the plurality of telematics data and determine that the selected data points meets a threshold value. The data server may further identify a first primary movement and constant speed windows including the data points and associate the first primary movement and constant speed windows with a customer account and auto insurance risk.,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10304140,2019-05-28,System and method for facilitating generation of a policy binder,"A computer-implemented method for providing a protective policy binder. The method includes receiving, by the one or more processors, an instruction to assemble a policy binder. The method includes receiving information indicative of a policy application, wherein the policy application corresponds to a customer and the policy binder. The method includes receiving information indicative of policy modifications, wherein the policy modifications correspond to the policy application. The method includes based, at least in part, on the received instruction and the information indicative of the policy application, determining an order for combining the policy application and the policy modifications. The method includes combining, by the one or more processors, the information indicative of the policy application and the information indicative of the policy modifications according to the determined order. The method includes providing, by the one or more processors, an output signal comprising the combined information.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10304142,2019-05-28,Detecting transportation company trips in a vehicle based upon on-board audio signals,"The systems and methods may transmit a plurality of locationing pulse requests from a mobile device in a vehicle to an audio system of the vehicle during a period of operation of the vehicle. The audio system may have an array of speakers disposed inside the vehicle, and the locationing pulse requests may include a request to emit a locationing pulse from the array of speakers. The systems and methods may further receive the locationing pulse at a microphone of the mobile device; and determine, based upon receiving the locationing pulse, that the vehicle was in service of a TNC company, or otherwise operating as a TNC vehicle, during the period of operation based upon passengers entering and leaving the vehicle during the period of operation. Insurance covering the operation of the vehicle for TNC use may be verified, and/or alternatively, offered to facilitate insuring TNC vehicle operation.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10304313,2019-05-28,Sensor data to identify catastrophe areas,"A computer-implemented method for generating an automated response to a catastrophic event, that includes (1) analyzing a sample set of data generated in association with a catastrophic event to determine a threshold pattern; (2) receiving, with customer permission or affirmative consent, home sensor data from a smart home controller via wireless communication or data transmission, the home sensor data including data regarding at least one of (i) structural status; (ii) wind speed; (iii) availability of electricity; (iv) presence of water; (v) temperature; (vi) pressure; and/or (vii) presence of pollutants in the air and/or water; (3) determining, based upon or from computer analysis of the home sensor data, whether the home sensor data indicates a match to the threshold pattern; and (4) automatically generating a response if the home sensor data indicates a match to the threshold pattern. As a result, catastrophic events and responses thereto may be improved through usage of a remote network of home sensors.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10308246,2019-06-04,Autonomous vehicle signal control,"Methods and systems for communicating between autonomous vehicles are described herein. Such communication may be performed for signaling, collision avoidance, path coordination, and/or autonomous control. An autonomous vehicle may determine an upcoming maneuver for the autonomous vehicle and identify a vehicle signal which is indicative of the upcoming maneuver. Then the autonomous vehicle may present the vehicle signal. After presenting the vehicle signal, the autonomous vehicle may perform the maneuver.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10309785,2019-06-04,System and method for identifying heading of a moving vehicle using accelerometer data,A method for determining a yaw angle estimate or vehicle heading direction is presented. A potential range of yaw angles is generated based on a plurality of primary telematics data. One or more yaw angle estimates are generated from the potential range of yaw angles. A driving pattern is determined based on at least one of the yaw angle estimates. The primary telematics data is a plurality of telematics data originated from a client computing device. The effects of gravity have been removed from the plurality of telematics data in a first primary movement window.,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10311407,2019-06-04,Symbol-based communication routing,"A method includes receiving an indication that a communication is to be sent from the first party to a second party, and, for the communication from the first party to the second party, generating a code that encodes an indication of a communication routing between the first party and the second party. The computer-implemented method further includes embedding the code into the communication such that the code is sent with the communication from the first party to the second party, receiving a response to the communication, wherein the response to the communication includes the embedded code, and decoding the embedded code to determine the communication routing between the first party and the second party. Still further, the computer-implemented method includes causing the response to the communication to be routed to the first party based on the determined communication routing.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10311750,2019-06-04,Real-time driver observation and scoring for driver's education,"A method includes, during a driving session in which a student driver operates a vehicle, gathering driving skill data indicative of at least one of behavior of the student driver, acceleration of the vehicle, braking of the vehicle, or steering of the vehicle, and gathering comments from a driving instructor about the driving session. The method also includes generating a driving session report corresponding to the driving session. The driving session report includes at least one score based on the driving skill data, and the comments from the driving instructor about the driving session. Still further, the method includes causing the driving session report to be displayed on a display device.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10313148,2019-06-04,Configuring a device for movement-based control,"A system for movement-based device control is presented. The system may include a control device configured to generate a control signal corresponding to at least one movement associated with the control device. The system may also include a target subsystem located remotely from the control device. The target subsystem may be configured to change from operating in a manually-controlled mode to operating in a remotely-controlled mode in response to receiving a mode change signal from the control device. The target subsystem may also be configured to receive the control signal from the control device when operating in the remotely-controlled mode. The target subsystem may additionally be configured to determine, based on the control signal, at least one control command. The target subsystem may further be configured to cause the control command(s) to be executed so that the target subsystem is controlled according to the control command(s).",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10317223,2019-06-11,Taking corrective action based upon telematics data broadcast from another vehicle,"A computer-implemented method of using telematics data associated with an originating vehicle at a destination vehicle is provided. The method may include receiving telematics data associated with the originating vehicle by (1) a mobile device or (2) a smart vehicle controller associated with a driver or vehicle. The mobile device or smart vehicle controller may analyze the telematics data received to determine that (i) a travel event exists, or (ii) that a travel event message or warning is embedded within the telematics broadcast received. If the travel event exits, the method may include automatically taking a preventive or corrective action, at or via the mobile device or smart vehicle controller, which alleviates a negative impact of the travel event on the driver or vehicle to facilitate safer or more efficient vehicle travel. Insurance discounts may be provided to insureds based upon their usage of the risk mitigation or prevention functionality.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10319002,2019-06-11,Real property image analysis system to analyze property repairs and improvements,"Systems and methods for analyzing image data depicting portions of properties are disclosed. According to certain aspects, an electronic device may analyze image data depicting a portion of a property to identify a set of elements and a set of characteristics associated therewith. The electronic device may access a desired set of characteristics and may calculate a monetary amount associated with modifying the set of elements to achieve the desired set of characteristics.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10319039,2019-06-11,Accident fault determination for autonomous vehicles,"Methods and systems for determining fault for an accident involving a vehicle having one or more autonomous (and/or semi-autonomous) operation features are provided. According to certain aspects, operating data from sensors within or near the vehicle may be used to determine fault for a vehicle accident, such as a collision. The operating data may include information regarding use of the features at the time of the accident and may further be used to determine an allocation of fault for the accident between a vehicle operator, the autonomous operation features, or a third party. The allocation of fault may be used to determine and/or adjust coverage levels for an insurance policy associated with the vehicle. The allocation of fault may further be used to adjust risk levels or profiles associated with the vehicle operator or with the autonomous operation features.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10319159,2019-06-11,System and method for determining driving patterns using telematics data,"A computer implemented method for determining a driving pattern from raw telematics data is presented. A data server may receive, via a computer network, a plurality of telematics data corresponding to a trip of a vehicle, wherein the plurality of telematics data originates from a client computing device. The data server may also identify a first primary movement window of the vehicle trip and one or more constant speed and idling windows of the vehicle trip. The data server may further estimate gravity from the telematics data in the first primary movement window of the vehicle trip and generate a pitch and a roll angle from the first primary movement window of the vehicle trip, as well as one or more yaw angle estimates from the first primary movement window of the vehicle trip. The data server may further determine a driving pattern using at least constant speed times, idling times, acceleration, breaking, vehicle turns and relate that to estimate driving risk and insurance premium.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
